SeqID,True_Classification,Protax_Classification,Protax_Probability,Accuracy
SH1189742.08FU_KM042014_reps,Glomerales,Glomerales,0.717,1
SH1236197.08FU_MT765667_reps,Glomerales,Glomerales,0.676,1
SH1175355.08FU_HF674813_reps,Glomerales,Glomerales,0.736,1
SH2595885.08FU_MK875637_reps,Glomerales,Glomerales,0.72,1
SH1174377.08FU_GQ388280_reps,Glomerales,Glomerales,0.951,1
SH1182577.08FU_FJ808955_reps,Glomerales,Glomerales,0.993,1
SH1174367.08FU_GQ388314_reps,Glomerales,Glomerales,0.994,1
SH1189503.08FU_FN547623_refs,Glomerales,NA,0.0,0
SH1182353.08FU_FM876813_reps,Glomerales,Glomerales,0.72,1
SH1182653.08FU_GQ388600_reps,Glomerales,Glomerales,0.977,1
SH1182656.08FU_JX042775_reps,Glomerales,Glomerales,0.986,1
SH2613209.08FU_UDB0391365_reps,Glomerales,Glomerales,0.562,1
SH1182659.08FU_UDB0112594_reps,Glomerales,Glomerales,0.696,1
SH1189640.08FU_FJ008621_reps,Glomerales,Glomerales,0.961,1
SH1182657.08FU_KF836969_reps,Glomerales,Glomerales,0.96,1
SH1175750.08FU_KJ484726_reps,Glomerales,Glomerales,0.98,1
SH1153835.08FU_AM495198_reps,Glomerales,Glomerales,0.83,1
SH2617547.08FU_UDB0620988_reps,Glomerales,NA,0.0,0
SH1182645.08FU_AJ567787_reps,Glomerales,Glomerales,0.947,1
SH1151425.08FU_JN195559_reps,Glomerales,Glomerales,0.72,1
SH1176768.08FU_HQ243230_reps,Glomerales,Glomerales,0.994,1
SH2610175.08FU_UDB0567859_reps,Glomerales,Glomerales,0.359,1
SH1189680.08FU_KF836937_reps,Glomerales,Glomerales,0.985,1
SH1192147.08FU_MF589993_reps,Glomerales,Glomerales,0.72,1
SH1189717.08FU_JN194430_reps,Glomerales,Glomerales,0.994,1
SH1189661.08FU_JF439184_reps,Glomerales,Glomerales,0.981,1
SH1176788.08FU_JX276901_reps,Glomerales,Glomerales,0.982,1
SH1177685.08FU_JN195566_reps,Glomerales,Glomerales,0.72,1
SH1189664.08FU_FJ008663_reps,Glomerales,Glomerales,0.72,1
SH1158801.08FU_FM865575_refs,Glomerales,Glomerales,0.955,1
SH1168486.08FU_AM384919_reps,Glomerales,Glomerales,0.72,1
SH1181780.08FU_KP235753_reps,Glomerales,Glomerales,0.72,1
SH1174533.08FU_MN735719_reps,Glomerales,Glomerales,0.72,1
SH1153918.08FU_JN195715_reps,Glomerales,Glomerales,0.72,1
SH2607079.08FU_UDB0623343_reps,Glomerales,NA,0.0,0
SH2610072.08FU_UDB0331991_reps,Glomerales,NA,0.0,0
SH1155374.08FU_UDB0149296_reps,Glomerales,NA,0.0,0
SH1176804.08FU_MT765608_reps,Glomerales,Glomerales,0.868,1
SH1182574.08FU_GQ388504_reps,Glomerales,Glomerales,0.994,1
SH1192148.08FU_HG969372_reps,Glomerales,Glomerales,0.72,1
SH2608994.08FU_UDB0631583_reps,Glomerales,Glomerales,0.324,1
SH1236616.08FU_HE775339_reps,Glomerales,Glomerales,0.72,1
SH1177688.08FU_JN195569_reps,Glomerales,Glomerales,0.72,1
SH1153931.08FU_UDB0359405_reps,Glomerales,Glomerales,0.625,1
SH2604047.08FU_UDB0674762_reps,Glomerales,Glomerales,0.487,1
SH1189630.08FU_EU359122_reps,Glomerales,Glomerales,0.992,1
SH1189083.08FU_KP756596_reps,Glomerales,Glomerales,0.72,1
SH1191152.08FU_FM253384_reps,Glomerales,Glomerales,0.72,1
SH1181784.08FU_JN195728_reps,Glomerales,Glomerales,0.72,1
SH1215366.08FU_UDB0696646_reps,Glomerales,Glomerales,0.946,1
SH1215351.08FU_UDB0622079_reps,Glomerales,Glomerales,0.976,1
SH2603705.08FU_UDB076636_reps,Glomerales,Glomerales,0.699,1
SH2606825.08FU_UDB0150490_reps,Glomerales,Glomerales,0.277,1
SH1174309.08FU_AJ699065_refs,Glomerales,Glomerales,0.899,1
SH2603830.08FU_UDB0521439_reps,Glomerales,Glomerales,0.551,1
SH1174409.08FU_UDB043638_reps,Glomerales,Glomerales,0.67,1
SH1142502.08FU_EF393610_reps,Glomerales,Glomerales,0.72,1
SH1189091.08FU_UDB014851_reps,Glomerales,Glomerales,0.444,1
SH1189635.08FU_KF849696_reps,Glomerales,Glomerales,0.967,1
SH1153920.08FU_KF060316_reps,Glomerales,Glomerales,0.968,1
SH1236194.08FU_JN195714_reps,Glomerales,Glomerales,0.72,1
SH1189514.08FU_EF989121_reps,Glomerales,Glomerales,0.627,1
SH2595571.08FU_MN306207_reps,Diversisporales,Diversisporales,0.95,1
SH1182292.08FU_JX096626_reps,Diversisporales,Diversisporales,0.983,1
SH1184212.08FU_FM876815_reps,Diversisporales,Diversisporales,0.973,1
SH1175170.08FU_KP756417_reps,Diversisporales,Diversisporales,0.593,1
SH1189096.08FU_KY565428_reps,Diversisporales,Diversisporales,0.593,1
SH1175162.08FU_KF206483_reps,Diversisporales,NA,0.0,0
SH1175171.08FU_KF206455_reps,Diversisporales,Diversisporales,0.593,1
SH2589668.08FU_KM057070_reps,Diversisporales,Diversisporales,0.593,1
SH1175374.08FU_KF849501_reps,Diversisporales,NA,0.0,0
SH1182284.08FU_AJ504642_reps,Diversisporales,Diversisporales,0.824,1
SH1182279.08FU_AM713406_reps,Diversisporales,Diversisporales,0.839,1
SH1182304.08FU_HF970246_reps,Diversisporales,Diversisporales,0.958,1
SH1171725.08FU_JN685297_refs,Diversisporales,Diversisporales,0.593,1
SH1177010.08FU_FR821673_reps,Diversisporales,Diversisporales,0.593,1
SH1182287.08FU_FR873630_refs,Diversisporales,Diversisporales,0.976,1
SH1175370.08FU_FR846382_reps,Diversisporales,NA,0.0,0
SH1182288.08FU_KJ850204_reps,Diversisporales,Diversisporales,0.698,1
SH1175365.08FU_HG969357_reps,Diversisporales,Diversisporales,0.593,1
SH1157221.08FU_FR750170_refs,Diversisporales,Diversisporales,0.593,1
SH1175158.08FU_AJ938138_reps,Diversisporales,Diversisporales,0.593,1
SH1182283.08FU_KT444716_reps,Diversisporales,Diversisporales,0.707,1
SH1175367.08FU_FM876791_refs,Diversisporales,NA,0.0,0
SH2588267.08FU_AB048617_reps,Gigasporales,Gigasporales,0.758,1
SH1142447.08FU_FN547622_refs,Gigasporales,Gigasporales,0.886,1
SH2588257.08FU_AJ410751_reps,Gigasporales,Gigasporales,0.984,1
SH1171700.08FU_MT765695_reps,Gigasporales,Gigasporales,0.692,1
SH2588265.08FU_AB048683_reps,Gigasporales,Gigasporales,0.981,1
SH1171696.08FU_JF276259_reps,Gigasporales,Gigasporales,0.879,1
SH1142448.08FU_FR750018_refs,Gigasporales,Gigasporales,0.883,1
SH1155417.08FU_FR750022_refs,Archaeosporales,Archaeosporales,0.571,1
SH2588248.08FU_AJ515175_reps,Archaeosporales,Archaeosporales,0.619,1
SH1182502.08FU_GQ388702_reps,Archaeosporales,Archaeosporales,0.633,1
SH1169600.08FU_HF970302_reps,Archaeosporales,Archaeosporales,0.619,1
SH1168462.08FU_MH982516_reps,Archaeosporales,Archaeosporales,0.66,1
SH1169599.08FU_FN547530_refs,Archaeosporales,Archaeosporales,0.887,1
SH1182504.08FU_AM494586_reps,Archaeosporales,Archaeosporales,0.434,1
SH1236623.08FU_KP756593_reps,Archaeosporales,Archaeosporales,0.393,1
SH2593361.08FU_KY114695_reps,Paraglomerales,NA,0.0,0
SH3567343.08FU_MT765513_reps,Paraglomerales,NA,0.0,0
SH1148021.08FU_U81986_refs,Paraglomerales,NA,0.0,0
SH1148002.08FU_AF165920_refs,Paraglomerales,NA,0.0,0
SH1140821.08FU_KU175682_reps,Thelephorales,Thelephorales,0.724,1
SH1141073.08FU_KX444267_reps,Thelephorales,Thelephorales,0.869,1
SH1159569.08FU_EF411076_reps,Thelephorales,Thelephorales,0.875,1
SH1143645.08FU_UDB016050_refs,Thelephorales,Thelephorales,0.745,1
SH1141056.08FU_UDB0328320_reps,Thelephorales,Thelephorales,0.883,1
SH1159648.08FU_UDB0374486_reps,Thelephorales,Thelephorales,0.9,1
SH1141173.08FU_AB848678_reps,Thelephorales,Thelephorales,0.74,1
SH1186689.08FU_KM402915_reps,Thelephorales,Thelephorales,0.589,1
SH1159535.08FU_UDB016804_refs,Thelephorales,Thelephorales,0.712,1
SH1159589.08FU_KM595011_reps,Thelephorales,Thelephorales,0.838,1
SH1159603.08FU_KX444462_reps,Thelephorales,Thelephorales,0.913,1
SH1159420.08FU_UDB012443_reps,Thelephorales,Thelephorales,0.928,1
SH1159497.08FU_JF960832_reps,Thelephorales,Thelephorales,0.559,1
SH1140665.08FU_GQ900541_reps,Thelephorales,Thelephorales,0.778,1
SH1159655.08FU_UDB0754658_reps,Thelephorales,Thelephorales,0.462,1
SH1233052.08FU_KX444459_reps,Thelephorales,Thelephorales,0.744,1
SH1159422.08FU_UDB0164402_reps,Thelephorales,Thelephorales,0.864,1
SH1140804.08FU_GU180326_reps,Thelephorales,Thelephorales,0.879,1
SH2603398.08FU_UDB0147425_reps,Thelephorales,Thelephorales,0.825,1
SH1140584.08FU_JF960841_reps,Thelephorales,Thelephorales,0.851,1
SH1140845.08FU_JX030215_reps,Thelephorales,Thelephorales,0.865,1
SH1159438.08FU_UDB0337470_reps,Thelephorales,Thelephorales,0.829,1
SH1141025.08FU_KC791130_reps,Thelephorales,Thelephorales,0.813,1
SH1140614.08FU_UDB016191_refs,Thelephorales,Thelephorales,0.887,1
SH1141099.08FU_UDB0357650_reps,Thelephorales,Thelephorales,0.0411,1
SH1140997.08FU_UDB0136984_reps,Thelephorales,Thelephorales,0.582,1
SH1140846.08FU_LC175180_reps,Thelephorales,Thelephorales,0.862,1
SH1233713.08FU_UDB011147_refs,Thelephorales,Thelephorales,0.776,1
SH1159494.08FU_UDB002766_reps,Thelephorales,Thelephorales,0.665,1
SH1140877.08FU_UDB0477310_reps,Thelephorales,Thelephorales,0.838,1
SH1159583.08FU_JX474814_reps,Thelephorales,Thelephorales,0.882,1
SH1236694.08FU_AM490945_refs,Thelephorales,Thelephorales,0.951,1
SH1140563.08FU_UDB0413316_reps,Thelephorales,Thelephorales,0.905,1
SH1140720.08FU_EU816651_reps,Thelephorales,Thelephorales,0.769,1
SH1212530.08FU_LC367970_reps,Thelephorales,Thelephorales,0.865,1
SH1140595.08FU_UDB0318064_reps,Thelephorales,Thelephorales,0.938,1
SH1212546.08FU_JN652986_reps,Thelephorales,Thelephorales,0.0414,1
SH2607594.08FU_UDB0468542_reps,Thelephorales,Thelephorales,0.0419,1
SH1237731.08FU_UDB004263_reps,Thelephorales,Thelephorales,0.63,1
SH1140530.08FU_GU184087_reps,Thelephorales,Thelephorales,0.791,1
SH1159756.08FU_AB808017_reps,Thelephorales,Thelephorales,0.871,1
SH2591642.08FU_MK770287_reps,Thelephorales,Thelephorales,0.739,1
SH1140697.08FU_AY656949_reps,Thelephorales,Thelephorales,0.843,1
SH1140754.08FU_GU184081_reps,Thelephorales,Thelephorales,0.862,1
SH1140822.08FU_KT461333_reps,Thelephorales,Thelephorales,0.703,1
SH1140814.08FU_UDB004259_reps,Thelephorales,Thelephorales,0.829,1
SH1140790.08FU_U83466_reps,Thelephorales,Thelephorales,0.888,1
SH1140948.08FU_HQ667930_reps,Thelephorales,Thelephorales,0.824,1
SH1141044.08FU_UDB0759278_reps,Thelephorales,Thelephorales,0.887,1
SH1182468.08FU_KC571779_reps,Thelephorales,Thelephorales,0.0468,1
SH2602393.08FU_UDB054408_reps,Thelephorales,Thelephorales,0.81,1
SH1212510.08FU_UDB0357285_reps,Thelephorales,Thelephorales,0.862,1
SH1140825.08FU_UDB008388_reps,Thelephorales,Thelephorales,0.688,1
SH1140829.08FU_UDB004261_reps,Thelephorales,Thelephorales,0.843,1
SH1140468.08FU_UDB0171555_reps,Thelephorales,Thelephorales,0.94,1
SH1159485.08FU_UDB0212236_reps,Thelephorales,Thelephorales,0.91,1
SH1140583.08FU_UDB0759337_reps,Thelephorales,Thelephorales,0.734,1
SH1140782.08FU_UDB0349804_reps,Thelephorales,Thelephorales,0.0215,1
SH1140779.08FU_UDB0251164_reps,Thelephorales,Thelephorales,0.904,1
SH1140851.08FU_AB873193_reps,Thelephorales,Thelephorales,0.802,1
SH2607206.08FU_UDB0156356_reps,Thelephorales,Thelephorales,0.778,1
SH1159496.08FU_UDB007863_reps,Thelephorales,Thelephorales,0.359,1
SH1140624.08FU_UDB016800_refs,Thelephorales,Thelephorales,0.818,1
SH1159576.08FU_UDB0219083_reps,Thelephorales,Thelephorales,0.947,1
SH1159582.08FU_UDB0203815_reps,Thelephorales,Thelephorales,0.0421,1
SH1159593.08FU_UDB016659_reps,Thelephorales,Thelephorales,0.663,1
SH1159587.08FU_DQ974784_reps,Thelephorales,Thelephorales,0.885,1
SH1212489.08FU_UDB0757657_reps,Thelephorales,Thelephorales,0.938,1
SH1213090.08FU_UDB0755918_reps,Thelephorales,Thelephorales,0.452,1
SH1140729.08FU_JN168770_reps,Thelephorales,Thelephorales,0.785,1
SH1157454.08FU_UDB014798_reps,Thelephorales,Thelephorales,0.0432,1
SH1140458.08FU_UDB000212_refs,Thelephorales,Thelephorales,0.927,1
SH1140449.08FU_UDB000219_refs,Thelephorales,Thelephorales,0.951,1
SH1140923.08FU_UDB0755419_reps,Thelephorales,Thelephorales,0.661,1
SH1140730.08FU_KF041366_reps,Thelephorales,Thelephorales,0.779,1
SH1140795.08FU_UDB013758_reps,Thelephorales,Thelephorales,0.732,1
SH1140991.08FU_UDB004821_reps,Thelephorales,Thelephorales,0.648,1
SH1140962.08FU_KM594999_reps,Thelephorales,Thelephorales,0.768,1
SH1141006.08FU_UDB007148_reps,Thelephorales,Thelephorales,0.839,1
SH1159543.08FU_KF477087_reps,Thelephorales,Thelephorales,0.798,1
SH1140897.08FU_UDB004834_reps,Thelephorales,Thelephorales,0.803,1
SH1141109.08FU_KX499245_reps,Thelephorales,Thelephorales,0.785,1
SH1212476.08FU_DQ848613_refs,Thelephorales,Thelephorales,0.782,1
SH1171249.08FU_HQ650766_refs,Thelephorales,Thelephorales,0.0468,1
SH1159548.08FU_UDB016675_reps,Thelephorales,Thelephorales,0.788,1
SH1159594.08FU_UDB0335978_reps,Thelephorales,Thelephorales,0.874,1
SH1159525.08FU_UDB0138627_reps,Thelephorales,Thelephorales,0.935,1
SH1159586.08FU_UDB0383161_reps,Thelephorales,Thelephorales,0.867,1
SH1159581.08FU_UDB004603_reps,Thelephorales,Thelephorales,0.672,1
SH1233038.08FU_EF538424_refs,Thelephorales,Thelephorales,0.0432,1
SH1140627.08FU_KP754116_reps,Thelephorales,Thelephorales,0.812,1
SH1140708.08FU_UDB018546_refs,Thelephorales,Thelephorales,0.847,1
SH1140472.08FU_UDB016470_refs,Thelephorales,Thelephorales,0.943,1
SH1140767.08FU_GQ900540_reps,Thelephorales,Thelephorales,0.569,1
SH1140794.08FU_FR852156_reps,Thelephorales,Thelephorales,0.868,1
SH1140706.08FU_KJ701298_reps,Thelephorales,Thelephorales,0.715,1
SH1183170.08FU_UDB015313_refs,Thelephorales,Thelephorales,0.496,1
SH1184822.08FU_UDB000281_refs,Thelephorales,Thelephorales,0.472,1
SH1140773.08FU_UDB004280_reps,Thelephorales,Thelephorales,0.605,1
SH2605938.08FU_UDB0120877_reps,Thelephorales,Thelephorales,0.808,1
SH1140701.08FU_UDB0458755_reps,Thelephorales,Thelephorales,0.939,1
SH2590332.08FU_KU238912_reps,Thelephorales,NA,0.0,0
SH1159680.08FU_UDB0769096_reps,Thelephorales,Thelephorales,0.0432,1
SH1140629.08FU_JN890392_reps,Thelephorales,Thelephorales,0.763,1
SH1212531.08FU_UDB018376_reps,Thelephorales,Thelephorales,0.867,1
SH1159479.08FU_UDB0355826_reps,Thelephorales,Thelephorales,0.885,1
SH1140618.08FU_JX075890_reps,Thelephorales,Thelephorales,0.862,1
SH1159477.08FU_UDB028226_reps,Thelephorales,Thelephorales,0.942,1
SH1140905.08FU_LC368016_reps,Thelephorales,Thelephorales,0.877,1
SH1188270.08FU_UDB0250970_reps,Thelephorales,Thelephorales,0.829,1
SH1230077.08FU_UDB016304_refs,Thelephorales,Thelephorales,0.939,1
SH1159458.08FU_UDB0413942_reps,Thelephorales,Thelephorales,0.93,1
SH1140700.08FU_UDB0757590_reps,Thelephorales,Thelephorales,0.0414,1
SH1185291.08FU_UDB0146781_reps,Thelephorales,Thelephorales,0.915,1
SH2602903.08FU_UDB0683636_reps,Thelephorales,Thelephorales,0.783,1
SH1140579.08FU_FJ013083_reps,Thelephorales,Thelephorales,0.865,1
SH1140560.08FU_U83483_refs,Thelephorales,Thelephorales,0.944,1
SH2606290.08FU_UDB0267837_reps,Thelephorales,Russulales,0.011,0
SH1159492.08FU_MF693840_reps,Thelephorales,Thelephorales,0.901,1
SH1159448.08FU_UDB013336_refs,Thelephorales,Thelephorales,0.898,1
SH1140732.08FU_LC013828_reps,Thelephorales,Thelephorales,0.847,1
SH1159703.08FU_UDB085186_reps,Thelephorales,Thelephorales,0.923,1
SH1172138.08FU_KY774243_reps,Thelephorales,Thelephorales,0.0468,1
SH1230385.08FU_JN135193_reps,Thelephorales,Thelephorales,0.0532,1
SH1140745.08FU_UDB0349933_reps,Thelephorales,Thelephorales,0.67,1
SH1140685.08FU_UDB016601_reps,Thelephorales,Thelephorales,0.652,1
SH1140559.08FU_UDB0354278_reps,Thelephorales,Thelephorales,0.863,1
SH1159523.08FU_UDB004556_reps,Thelephorales,Thelephorales,0.727,1
SH1190447.08FU_UDB004275_reps,Thelephorales,Thelephorales,0.73,1
SH3565406.08FU_MK049931_reps,Thelephorales,NA,0.0,0
SH1159534.08FU_UDB0139685_reps,Thelephorales,Thelephorales,0.927,1
SH1159471.08FU_JQ318604_reps,Thelephorales,Thelephorales,0.872,1
SH1159662.08FU_UDB003319_reps,Thelephorales,Thelephorales,0.795,1
SH1140645.08FU_GU220644_reps,Thelephorales,Thelephorales,0.898,1
SH1159487.08FU_AB982062_reps,Thelephorales,Thelephorales,0.762,1
SH1233716.08FU_UDB003281_refs,Thelephorales,Thelephorales,0.77,1
SH1175670.08FU_UDB013051_reps,Thelephorales,Thelephorales,0.0432,1
SH1140741.08FU_GU187873_reps,Thelephorales,Thelephorales,0.692,1
SH1140691.08FU_KM247756_reps,Thelephorales,Thelephorales,0.787,1
SH1140498.08FU_UDB016389_refs,Thelephorales,Thelephorales,0.92,1
SH1140820.08FU_KM403027_reps,Thelephorales,Thelephorales,0.881,1
SH1140574.08FU_KF476954_reps,Thelephorales,Thelephorales,0.827,1
SH1140514.08FU_UDB002643_refs,Thelephorales,Thelephorales,0.762,1
SH1159489.08FU_UDB0541961_reps,Thelephorales,Thelephorales,0.862,1
SH1140567.08FU_UDB0276563_reps,Thelephorales,Thelephorales,0.868,1
SH1239110.08FU_EF411112_refs,Thelephorales,Thelephorales,0.0432,1
SH1140549.08FU_HQ204732_refs,Thelephorales,Thelephorales,0.864,1
SH1140600.08FU_UDB0331923_reps,Thelephorales,Thelephorales,0.878,1
SH1140523.08FU_UDB034390_reps,Thelephorales,Thelephorales,0.831,1
SH1159452.08FU_AB259137_reps,Thelephorales,Thelephorales,0.859,1
SH1140972.08FU_UDB014485_reps,Thelephorales,Thelephorales,0.692,1
SH1140666.08FU_KF779449_reps,Thelephorales,Thelephorales,0.85,1
SH1140870.08FU_UDB0629641_reps,Thelephorales,Thelephorales,0.913,1
SH1140486.08FU_KJ462504_refs,Thelephorales,Thelephorales,0.831,1
SH1141070.08FU_UDB0590757_reps,Thelephorales,Thelephorales,0.859,1
SH1140569.08FU_UDB0765092_reps,Thelephorales,Thelephorales,0.0408,1
SH1141076.08FU_JF748087_reps,Thelephorales,Thelephorales,0.797,1
SH2614543.08FU_UDB0467780_reps,Thelephorales,Thelephorales,0.724,1
SH1159511.08FU_DQ146381_reps,Thelephorales,Thelephorales,0.452,1
SH1212516.08FU_UDB0756769_reps,Thelephorales,Thelephorales,0.467,1
SH1187096.08FU_UDB036881_reps,Thelephorales,Thelephorales,0.0468,1
SH1140446.08FU_UDB018524_refs,Thelephorales,Thelephorales,0.92,1
SH1212410.08FU_KC152240_refs,Thelephorales,Thelephorales,0.858,1
SH1140696.08FU_LC367944_reps,Thelephorales,Thelephorales,0.849,1
SH1212486.08FU_UDB016803_refs,Thelephorales,Thelephorales,0.675,1
SH1159474.08FU_UDB025888_reps,Thelephorales,Thelephorales,0.889,1
SH1140642.08FU_UDB004253_reps,Thelephorales,Thelephorales,0.753,1
SH3565310.08FU_MN536738_reps,Thelephorales,Thelephorales,0.299,1
SH1140541.08FU_UDB003311_refs,Thelephorales,Thelephorales,0.885,1
SH1140903.08FU_UDB004830_reps,Thelephorales,Thelephorales,0.688,1
SH1140654.08FU_KM594884_reps,Thelephorales,Thelephorales,0.743,1
SH1159560.08FU_UDB0234165_reps,Thelephorales,Thelephorales,0.891,1
SH1233715.08FU_UDB001709_refs,Thelephorales,Thelephorales,0.0545,1
SH1159501.08FU_UDB018377_reps,Thelephorales,Thelephorales,0.878,1
SH1141037.08FU_UDB0244028_reps,Thelephorales,Thelephorales,0.847,1
SH1239101.08FU_UDB014063_refs,Thelephorales,Thelephorales,0.0432,1
SH1159573.08FU_UDB005576_reps,Thelephorales,Thelephorales,0.874,1
SH1140623.08FU_UDB003303_refs,Thelephorales,Thelephorales,0.89,1
SH1140714.08FU_UDB004266_reps,Thelephorales,Thelephorales,0.661,1
SH1238827.08FU_HQ533015_refs,Thelephorales,Thelephorales,0.685,1
SH1140554.08FU_UDB015188_refs,Thelephorales,Thelephorales,0.846,1
SH1212483.08FU_UDB016669_reps,Thelephorales,Thelephorales,0.713,1
SH1159473.08FU_KP754108_reps,Thelephorales,Thelephorales,0.724,1
SH1140512.08FU_KU924840_refs,Thelephorales,Thelephorales,0.89,1
SH1140842.08FU_UDB004385_reps,Thelephorales,Thelephorales,0.559,1
SH1140616.08FU_UDB013796_refs,Thelephorales,Thelephorales,0.843,1
SH1140663.08FU_UDB004953_refs,Thelephorales,Thelephorales,0.854,1
SH1159601.08FU_MT366776_reps,Thelephorales,Thelephorales,0.816,1
SH1159585.08FU_KR149764_reps,Thelephorales,Thelephorales,0.7,1
SH1140710.08FU_UDB016791_reps,Thelephorales,Thelephorales,0.776,1
SH1159712.08FU_EU668211_reps,Thelephorales,Thelephorales,0.685,1
SH1159557.08FU_UDB0472258_reps,Thelephorales,Thelephorales,0.943,1
SH1148776.08FU_KY354755_reps,Gomphales,Gomphales,0.148,1
SH1228314.08FU_EU846302_reps,Gomphales,Gomphales,0.0835,1
SH1149302.08FU_MK169346_reps,Gomphales,Gomphales,0.0835,1
SH1181509.08FU_AJ408377_reps,Gomphales,Gomphales,0.0835,1
SH1228500.08FU_EF417802_reps,Gomphales,Gomphales,0.261,1
SH1188617.08FU_KU884895_reps,Gomphales,Gomphales,0.0835,1
SH1182341.08FU_MT055960_reps,Gomphales,Gomphales,0.0695,1
SH1212637.08FU_KY352642_reps,Gomphales,Gomphales,0.0835,1
SH1212981.08FU_FJ596797_reps,Gomphales,Gomphales,0.0835,1
SH1169365.08FU_MF564301_reps,Gomphales,Gomphales,0.0835,1
SH1228315.08FU_MF992159_reps,Gomphales,Gomphales,0.0835,1
SH1179283.08FU_UDB032708_reps,Gomphales,Gomphales,0.0835,1
SH1190809.08FU_KY626142_refs,Gomphales,Gomphales,0.0835,1
SH1235274.08FU_FJ656023_reps,Gomphales,Gomphales,0.0835,1
SH3565667.08FU_MK253201_reps,Gomphales,NA,0.0,0
SH1228505.08FU_MT055977_reps,Gomphales,Gomphales,0.273,1
SH1243481.08FU_KT307901_reps,Gomphales,Gomphales,0.0835,1
SH1213279.08FU_UDB0332821_reps,Gomphales,Gomphales,0.0835,1
SH2606479.08FU_UDB0136773_reps,Gomphales,Gomphales,0.0813,1
SH1169682.08FU_AJ292295_reps,Gomphales,Gomphales,0.0835,1
SH1213076.08FU_UDB018199_refs,Gomphales,Gomphales,0.0832,1
SH1171819.08FU_KU870451_reps,Gomphales,Gomphales,0.0405,1
SH1184690.08FU_KT307860_reps,Gomphales,Gomphales,0.536,1
SH1151032.08FU_UDB0133685_reps,Gomphales,Gomphales,0.0769,1
SH3568623.08FU_MT580793_reps,Gomphales,NA,0.0,0
SH1235691.08FU_UDB034438_reps,Gomphales,Gomphales,0.0835,1
SH1227038.08FU_MT424869_reps,Gomphales,Gomphales,0.0509,1
SH1152056.08FU_MT055909_reps,Gomphales,Gomphales,0.0695,1
SH1180016.08FU_KY626140_refs,Gomphales,Gomphales,0.0835,1
SH1184693.08FU_EU644709_reps,Gomphales,Gomphales,0.0797,1
SH2593485.08FU_MK169351_reps,Gomphales,Gomphales,0.406,1
SH1228208.08FU_EU645625_reps,Gomphales,Gomphales,0.0835,1
SH1228405.08FU_UDB033497_reps,Gomphales,Gomphales,0.0835,1
