SeqID,True_Classification,Protax_Classification,Protax_Probability,Accuracy
SH1175170.08FU_KP756417_reps,Diversisporales,Diversisporales,0.593,1
SH1143302.08FU_KP756451_reps,Diversisporales,NA,0.0,0
SH1177011.08FU_FR692352_reps,Diversisporales,Diversisporales,0.593,1
SH1182309.08FU_HG425932_reps,Diversisporales,Diversisporales,0.84,1
SH1175373.08FU_JF439203_reps,Diversisporales,NA,0.0,0
SH1181704.08FU_AJ872009_reps,Diversisporales,Diversisporales,0.593,1
SH1181708.08FU_HE603643_reps,Diversisporales,Diversisporales,0.593,1
SH1175171.08FU_KF206455_reps,Diversisporales,Diversisporales,0.593,1
SH1182284.08FU_AJ504642_reps,Diversisporales,Diversisporales,0.824,1
SH1143107.08FU_KX345939_reps,Diversisporales,NA,0.0,0
SH1182279.08FU_AM713406_reps,Diversisporales,Diversisporales,0.839,1
SH1182304.08FU_HF970246_reps,Diversisporales,Diversisporales,0.958,1
SH1182302.08FU_UDB0350522_reps,Diversisporales,Diversisporales,0.775,1
SH1175164.08FU_MH045497_reps,Diversisporales,Diversisporales,0.593,1
SH1181707.08FU_KP756473_reps,Diversisporales,Diversisporales,0.593,1
SH2588202.08FU_AJ891107_reps,Diversisporales,NA,0.0,0
SH1175159.08FU_KP756547_reps,Diversisporales,Diversisporales,0.593,1
SH1182287.08FU_FR873630_refs,Diversisporales,Diversisporales,0.976,1
SH1182280.08FU_FR865447_reps,Diversisporales,Diversisporales,0.838,1
SH2589666.08FU_KM057075_reps,Diversisporales,NA,0.0,0
SH1184220.08FU_MK036786_reps,Diversisporales,Diversisporales,0.982,1
SH1175370.08FU_FR846382_reps,Diversisporales,NA,0.0,0
SH1181701.08FU_FM876792_refs,Diversisporales,NA,0.0,0
SH3567328.08FU_MT765482_reps,Diversisporales,NA,0.0,0
SH1175372.08FU_AM420365_reps,Diversisporales,NA,0.0,0
SH1182283.08FU_KT444716_reps,Diversisporales,Diversisporales,0.708,1
SH1171697.08FU_MT765496_reps,Gigasporales,Gigasporales,0.757,1
SH1179586.08FU_FR750150_reps,Gigasporales,Gigasporales,0.758,1
SH1171694.08FU_KP756514_reps,Gigasporales,Gigasporales,0.758,1
SH1171695.08FU_KP756511_reps,Gigasporales,Gigasporales,0.884,1
SH1171689.08FU_HF968865_reps,Gigasporales,Gigasporales,0.883,1
SH2588257.08FU_AJ410751_reps,Gigasporales,Gigasporales,0.984,1
SH2588255.08FU_AJ313172_reps,Gigasporales,NA,0.0,0
SH1171685.08FU_HE962460_reps,Gigasporales,Gigasporales,0.985,1
SH2588265.08FU_AB048683_reps,Gigasporales,Gigasporales,0.981,1
SH1153869.08FU_AM268197_refs,Archaeosporales,Archaeosporales,0.907,1
SH1153875.08FU_FJ553199_reps,Archaeosporales,Archaeosporales,0.619,1
SH1182506.08FU_UDB0691642_reps,Archaeosporales,Archaeosporales,0.489,1
SH1174070.08FU_UDB072380_reps,Archaeosporales,Archaeosporales,0.893,1
SH1168423.08FU_AM420385_refs,Archaeosporales,Archaeosporales,0.853,1
SH1153873.08FU_MN735722_reps,Archaeosporales,Archaeosporales,0.619,1
SH1169604.08FU_MN735738_reps,Archaeosporales,Archaeosporales,0.599,1
SH2603360.08FU_UDB070060_reps,Archaeosporales,Archaeosporales,0.88,1
SH1236624.08FU_UDB0195112_reps,Archaeosporales,Archaeosporales,0.31,1
SH2588612.08FU_HM215639_reps,Paraglomerales,NA,0.0,0
SH1148316.08FU_AJ872031_reps,Paraglomerales,NA,0.0,0
SH3567357.08FU_MT765478_reps,Paraglomerales,NA,0.0,0
SH1150630.08FU_AF005481_reps,Paraglomerales,NA,0.0,0
SH1150632.08FU_MT765400_reps,Paraglomerales,NA,0.0,0
SH3567343.08FU_MT765513_reps,Paraglomerales,NA,0.0,0
SH1148020.08FU_KM207868_reps,Paraglomerales,NA,0.0,0
SH1140892.08FU_JF960838_reps,Thelephorales,Thelephorales,0.714,1
SH1159648.08FU_UDB0374486_reps,Thelephorales,Thelephorales,0.9,1
SH1140786.08FU_UDB004388_reps,Thelephorales,Thelephorales,0.736,1
SH3569664.08FU_UDB0780055_reps,Thelephorales,Thelephorales,0.758,1
SH2611959.08FU_UDB0407219_reps,Thelephorales,Thelephorales,0.739,1
SH1186689.08FU_KM402915_reps,Thelephorales,Thelephorales,0.589,1
SH1140733.08FU_UDB000957_refs,Thelephorales,Thelephorales,0.842,1
SH2618674.08FU_UDB0698571_reps,Thelephorales,Thelephorales,0.447,1
SH1159584.08FU_UDB016616_refs,Thelephorales,Thelephorales,0.711,1
SH1159527.08FU_KX619551_reps,Thelephorales,Thelephorales,0.835,1
SH1140840.08FU_KR819121_reps,Thelephorales,Thelephorales,0.661,1
SH1140508.08FU_AB634264_refs,Thelephorales,Thelephorales,0.623,1
SH1233052.08FU_KX444459_reps,Thelephorales,Thelephorales,0.744,1
SH1159440.08FU_JQ982963_reps,Thelephorales,Thelephorales,0.91,1
SH1212493.08FU_UDB016811_reps,Thelephorales,Thelephorales,0.447,1
SH1235646.08FU_EU784267_reps,Thelephorales,Thelephorales,0.0468,1
SH1140845.08FU_JX030215_reps,Thelephorales,Thelephorales,0.865,1
SH1140997.08FU_UDB0136984_reps,Thelephorales,Thelephorales,0.582,1
SH1233713.08FU_UDB011147_refs,Thelephorales,Thelephorales,0.776,1
SH2605277.08FU_UDB0232035_reps,Thelephorales,Thelephorales,0.0432,1
SH1159470.08FU_KT461320_reps,Thelephorales,Thelephorales,0.736,1
SH1141162.08FU_MK310083_reps,Thelephorales,Thelephorales,0.754,1
SH1159667.08FU_UDB0256477_reps,Thelephorales,Thelephorales,0.824,1
SH1159515.08FU_JQ393129_reps,Thelephorales,Thelephorales,0.876,1
SH1140576.08FU_UDB0464739_reps,Thelephorales,Thelephorales,0.903,1
SH2605147.08FU_UDB0100414_reps,Thelephorales,Thelephorales,0.0112,1
SH2591642.08FU_MK770287_reps,Thelephorales,Thelephorales,0.739,1
SH1140725.08FU_UDB0419771_reps,Thelephorales,Thelephorales,0.945,1
SH1182552.08FU_MF611701_reps,Thelephorales,Thelephorales,0.0468,1
SH1140513.08FU_UDB008261_refs,Thelephorales,Thelephorales,0.894,1
SH1141024.08FU_EU726319_reps,Thelephorales,Thelephorales,0.852,1
SH1233043.08FU_KM594840_reps,Thelephorales,Thelephorales,0.791,1
SH1140593.08FU_UDB0623346_reps,Thelephorales,Thelephorales,0.855,1
SH1140787.08FU_UDB007871_reps,Thelephorales,Thelephorales,0.688,1
SH1140764.08FU_UDB025959_reps,Thelephorales,Thelephorales,0.877,1
SH1190448.08FU_UDB000230_reps,Thelephorales,Thelephorales,0.78,1
SH1152198.08FU_KU141187_reps,Thelephorales,Thelephorales,0.862,1
SH1140963.08FU_UDB0758023_reps,Thelephorales,Thelephorales,0.573,1
SH1188272.08FU_LC013842_reps,Thelephorales,Thelephorales,0.908,1
SH1159744.08FU_KX444331_reps,Thelephorales,Thelephorales,0.834,1
SH1212510.08FU_UDB0357285_reps,Thelephorales,Thelephorales,0.862,1
SH1140690.08FU_LC315903_reps,Thelephorales,Thelephorales,0.795,1
SH2610672.08FU_UDB0278725_reps,Thelephorales,Thelephorales,0.782,1
SH1159496.08FU_UDB007863_reps,Thelephorales,Thelephorales,0.359,1
SH1159564.08FU_UDB018518_refs,Thelephorales,Thelephorales,0.851,1
SH1159576.08FU_UDB0219083_reps,Thelephorales,Thelephorales,0.947,1
SH1159531.08FU_UDB012538_reps,Thelephorales,Thelephorales,0.869,1
SH1212489.08FU_UDB0757657_reps,Thelephorales,Thelephorales,0.938,1
SH1140823.08FU_FJ901325_reps,Thelephorales,Thelephorales,0.841,1
SH1188274.08FU_LC175202_reps,Thelephorales,Thelephorales,0.897,1
SH1238832.08FU_UDB018364_refs,Thelephorales,Thelephorales,0.707,1
SH1140729.08FU_JN168770_reps,Thelephorales,Thelephorales,0.785,1
SH1159592.08FU_KC986252_reps,Thelephorales,Thelephorales,0.815,1
SH1140555.08FU_UDB0629634_reps,Thelephorales,Thelephorales,0.791,1
SH1212527.08FU_UDB0142823_reps,Thelephorales,Thelephorales,0.88,1
SH1140458.08FU_UDB000212_refs,Thelephorales,Thelephorales,0.927,1
SH1140678.08FU_KF476861_reps,Thelephorales,Thelephorales,0.898,1
SH1141189.08FU_KM247777_reps,Thelephorales,Thelephorales,0.83,1
SH1230382.08FU_KM402899_reps,Thelephorales,Thelephorales,0.52,1
SH1159714.08FU_UDB016696_reps,Thelephorales,Thelephorales,0.715,1
SH1140749.08FU_UDB013092_refs,Thelephorales,Thelephorales,0.681,1
SH1159579.08FU_KC965471_reps,Thelephorales,Thelephorales,0.824,1
SH1159545.08FU_UDB0282848_reps,Thelephorales,Thelephorales,0.772,1
SH1140838.08FU_JX630614_reps,Thelephorales,Thelephorales,0.758,1
SH1140859.08FU_AB971281_reps,Thelephorales,Thelephorales,0.726,1
SH1140795.08FU_UDB013758_reps,Thelephorales,Thelephorales,0.732,1
SH1140962.08FU_KM594999_reps,Thelephorales,Thelephorales,0.768,1
SH1141006.08FU_UDB007148_reps,Thelephorales,Thelephorales,0.839,1
SH1152204.08FU_MT678913_reps,Thelephorales,Thelephorales,0.829,1
SH1159508.08FU_UDB016181_reps,Thelephorales,Thelephorales,0.783,1
SH1233050.08FU_UDB0642822_reps,Thelephorales,Thelephorales,0.713,1
SH1140778.08FU_LC482551_reps,Thelephorales,Thelephorales,0.811,1
SH1191930.08FU_UDB000278_refs,Thelephorales,Thelephorales,0.531,1
SH1159464.08FU_KX816307_reps,Thelephorales,Thelephorales,0.832,1
SH1140897.08FU_UDB004834_reps,Thelephorales,Thelephorales,0.803,1
SH1140535.08FU_UDB0769090_reps,Thelephorales,Thelephorales,0.869,1
SH1186685.08FU_KM247698_reps,Thelephorales,Thelephorales,0.313,1
SH1140641.08FU_UDB0278788_reps,Thelephorales,Thelephorales,0.885,1
SH1159563.08FU_MK310082_reps,Thelephorales,Thelephorales,0.853,1
SH1171249.08FU_HQ650766_refs,Thelephorales,Thelephorales,0.0468,1
SH1140612.08FU_UDB016660_refs,Thelephorales,Thelephorales,0.652,1
SH1140627.08FU_KP754116_reps,Thelephorales,Thelephorales,0.812,1
SH1140610.08FU_DQ377424_reps,Thelephorales,Thelephorales,0.838,1
SH1140706.08FU_KJ701298_reps,Thelephorales,Thelephorales,0.715,1
SH1236695.08FU_EU292264_reps,Thelephorales,Thelephorales,0.472,1
SH1140621.08FU_UDB013202_reps,Thelephorales,Thelephorales,0.829,1
SH1140456.08FU_UDB003329_refs,Thelephorales,Thelephorales,0.942,1
SH1159451.08FU_LC482523_reps,Thelephorales,Thelephorales,0.336,1
SH1140773.08FU_UDB004280_reps,Thelephorales,Thelephorales,0.605,1
SH1159552.08FU_KJ209691_reps,Thelephorales,Thelephorales,0.794,1
SH1141110.08FU_UDB0541280_reps,Thelephorales,Thelephorales,0.874,1
SH1140605.08FU_UDB003338_refs,Thelephorales,Thelephorales,0.73,1
SH1159490.08FU_LC035333_reps,Thelephorales,Thelephorales,0.898,1
SH1140943.08FU_UDB004468_refs,Thelephorales,Thelephorales,0.525,1
SH1212531.08FU_UDB018376_reps,Thelephorales,Thelephorales,0.867,1
SH1237730.08FU_UDB004980_reps,Thelephorales,Thelephorales,0.756,1
SH1239100.08FU_UDB018683_refs,Thelephorales,Thelephorales,0.0432,1
SH1140516.08FU_AY656979_refs,Thelephorales,Thelephorales,0.806,1
SH1159595.08FU_UDB000242_reps,Thelephorales,Thelephorales,0.843,1
SH1140520.08FU_JF520432_refs,Thelephorales,Thelephorales,0.729,1
SH1141129.08FU_AB848663_reps,Thelephorales,Thelephorales,0.911,1
SH1159502.08FU_UDB0678960_reps,Thelephorales,Thelephorales,0.925,1
SH1140540.08FU_AB769921_refs,Thelephorales,Thelephorales,0.718,1
SH1140587.08FU_KC791133_reps,Thelephorales,Thelephorales,0.841,1
SH1159541.08FU_KU847425_refs,Thelephorales,Thelephorales,0.698,1
SH1159458.08FU_UDB0413942_reps,Thelephorales,Thelephorales,0.93,1
SH1150716.08FU_KC571737_reps,Thelephorales,Thelephorales,0.0468,1
SH1140685.08FU_UDB016601_reps,Thelephorales,Thelephorales,0.652,1
SH1233057.08FU_KF412353_reps,Thelephorales,Thelephorales,0.854,1
SH1140519.08FU_KP754062_reps,Thelephorales,Thelephorales,0.847,1
SH1141179.08FU_UDB0292263_reps,Thelephorales,Thelephorales,0.903,1
SH1159758.08FU_AB848659_reps,Thelephorales,Thelephorales,0.803,1
SH1230379.08FU_EU834219_refs,Thelephorales,Thelephorales,0.0531,1
SH1140858.08FU_AB251836_reps,Thelephorales,Thelephorales,0.707,1
SH1141022.08FU_UDB0541364_reps,Thelephorales,Thelephorales,0.923,1
SH1159428.08FU_UDB0157968_reps,Thelephorales,Thelephorales,0.938,1
SH1140719.08FU_UDB0379892_reps,Thelephorales,Thelephorales,0.921,1
SH1140613.08FU_UDB0454917_reps,Thelephorales,Thelephorales,0.942,1
SH2607461.08FU_UDB0244873_reps,Thelephorales,Thelephorales,0.837,1
SH1159417.08FU_UDB016174_refs,Thelephorales,Thelephorales,0.951,1
SH1159534.08FU_UDB0139685_reps,Thelephorales,Thelephorales,0.927,1
SH1140594.08FU_UDB011106_reps,Thelephorales,Thelephorales,0.823,1
SH1140809.08FU_KX398767_reps,Thelephorales,Thelephorales,0.829,1
SH1159725.08FU_GQ221650_reps,Thelephorales,Thelephorales,0.834,1
SH1159418.08FU_UDB016370_refs,Thelephorales,Thelephorales,0.942,1
SH1185301.08FU_FR852214_reps,Thelephorales,Thelephorales,0.704,1
SH1140820.08FU_KM403027_reps,Thelephorales,Thelephorales,0.881,1
SH1140771.08FU_JQ991866_reps,Thelephorales,Thelephorales,0.767,1
SH1159423.08FU_UDB0456605_reps,Thelephorales,Thelephorales,0.948,1
SH1140514.08FU_UDB002643_refs,Thelephorales,Thelephorales,0.762,1
SH1140481.08FU_UDB018549_refs,Thelephorales,Thelephorales,0.936,1
SH1159447.08FU_AJ581553_reps,Thelephorales,NA,0.0,0
SH1140817.08FU_UDB0137294_reps,Thelephorales,Thelephorales,0.862,1
SH1140600.08FU_UDB0331923_reps,Thelephorales,Thelephorales,0.878,1
SH2608403.08FU_UDB0195038_reps,Thelephorales,Thelephorales,0.844,1
SH1140666.08FU_KF779449_reps,Thelephorales,Thelephorales,0.85,1
SH1141070.08FU_UDB0590757_reps,Thelephorales,Thelephorales,0.859,1
SH1140569.08FU_UDB0765092_reps,Thelephorales,Thelephorales,0.0408,1
SH2602337.08FU_UDB0215338_reps,Thelephorales,Thelephorales,0.829,1
SH1140834.08FU_KM247759_reps,Thelephorales,Thelephorales,0.81,1
SH1159430.08FU_JX990026_reps,Thelephorales,Thelephorales,0.929,1
SH1141076.08FU_JF748087_reps,Thelephorales,Thelephorales,0.797,1
SH1140751.08FU_HE814095_reps,Thelephorales,Thelephorales,0.752,1
SH1187096.08FU_UDB036881_reps,Thelephorales,Thelephorales,0.0468,1
SH1159522.08FU_LC368004_reps,Thelephorales,Thelephorales,0.778,1
SH1140561.08FU_HQ445339_reps,Thelephorales,Thelephorales,0.817,1
SH1233044.08FU_EF507250_refs,Thelephorales,Thelephorales,0.629,1
SH1140581.08FU_JX030259_reps,Thelephorales,Thelephorales,0.831,1
SH3565310.08FU_MN536738_reps,Thelephorales,Thelephorales,0.299,1
SH1140853.08FU_UDB0755096_reps,Thelephorales,Thelephorales,0.881,1
SH1190445.08FU_UDB0758863_reps,Thelephorales,Thelephorales,0.0415,1
SH2608169.08FU_UDB0742031_reps,Thelephorales,Thelephorales,0.851,1
SH1140654.08FU_KM594884_reps,Thelephorales,Thelephorales,0.743,1
SH1141138.08FU_UDB0655298_reps,Thelephorales,Thelephorales,0.907,1
SH1140556.08FU_UDB000214_reps,Thelephorales,Thelephorales,0.843,1
SH1159602.08FU_KP754073_reps,Thelephorales,Thelephorales,0.526,1
SH1140985.08FU_MK310070_reps,Thelephorales,Thelephorales,0.808,1
SH1233715.08FU_UDB001709_refs,Thelephorales,Thelephorales,0.0545,1
SH1140988.08FU_LC368015_reps,Thelephorales,Thelephorales,0.801,1
SH1159501.08FU_UDB018377_reps,Thelephorales,Thelephorales,0.878,1
SH1140564.08FU_UDB0114773_reps,Thelephorales,Thelephorales,0.911,1
SH1140716.08FU_KT224911_reps,Thelephorales,Thelephorales,0.681,1
SH1239099.08FU_UDB016651_refs,Thelephorales,Thelephorales,0.0432,1
SH1140837.08FU_AB507049_reps,Thelephorales,Thelephorales,0.714,1
SH1140938.08FU_LC367980_reps,Thelephorales,Thelephorales,0.831,1
SH1140623.08FU_UDB003303_refs,Thelephorales,Thelephorales,0.89,1
SH1152191.08FU_UDB000191_refs,Thelephorales,Thelephorales,0.895,1
SH1140945.08FU_UDB0627380_reps,Thelephorales,Thelephorales,0.903,1
SH1140529.08FU_UDB0756178_reps,Thelephorales,Thelephorales,0.745,1
SH1238827.08FU_HQ533015_refs,Thelephorales,Thelephorales,0.685,1
SH1173821.08FU_KC571771_reps,Thelephorales,Thelephorales,0.0468,1
SH1140663.08FU_UDB004953_refs,Thelephorales,Thelephorales,0.854,1
SH1159585.08FU_KR149764_reps,Thelephorales,Thelephorales,0.7,1
SH1140511.08FU_KT800296_reps,Thelephorales,Thelephorales,0.864,1
SH1140625.08FU_KM247768_reps,Thelephorales,Thelephorales,0.859,1
SH1159575.08FU_UDB0145157_reps,Thelephorales,Thelephorales,0.881,1
SH1159556.08FU_KJ026754_reps,Thelephorales,Thelephorales,0.918,1
SH1148776.08FU_KY354755_reps,Gomphales,Gomphales,0.148,1
SH1228314.08FU_EU846302_reps,Gomphales,Gomphales,0.0835,1
SH3568381.08FU_MT055938_reps,Gomphales,NA,0.0,0
SH1148719.08FU_MK909905_reps,Gomphales,Gomphales,0.321,1
SH1228503.08FU_KT874979_reps,Gomphales,Gomphales,0.244,1
SH1143575.08FU_KP658139_reps,Gomphales,Gomphales,0.189,1
SH1228500.08FU_EF417802_reps,Gomphales,Gomphales,0.261,1
SH1182445.08FU_KU973835_reps,Gomphales,Gomphales,0.26,1
SH1188617.08FU_KU884895_reps,Gomphales,Gomphales,0.0835,1
SH1156830.08FU_KP658143_reps,Gomphales,Gomphales,0.0835,1
SH2609675.08FU_UDB0238831_reps,Gomphales,NA,0.0,0
SH1212981.08FU_FJ596797_reps,Gomphales,Gomphales,0.0835,1
SH1156984.08FU_KR673634_reps,Gomphales,Gomphales,0.0835,1
SH1239067.08FU_KP658114_reps,Gomphales,Gomphales,0.0835,1
SH1184688.08FU_MH860839_refs,Gomphales,Gomphales,0.577,1
SH3566365.08FU_MT055964_reps,Gomphales,NA,0.0,0
SH1179283.08FU_UDB032708_reps,Gomphales,Gomphales,0.0835,1
SH2610959.08FU_UDB0443698_reps,Gomphales,NA,0.0,0
SH1243481.08FU_KT307901_reps,Gomphales,Gomphales,0.0835,1
SH1238895.08FU_KM489522_reps,Gomphales,Gomphales,0.0866,1
SH1236710.08FU_AJ408375_reps,Gomphales,Gomphales,0.0835,1
SH1243793.08FU_UDB0507907_reps,Gomphales,Gomphales,0.0625,1
SH2606479.08FU_UDB0136773_reps,Gomphales,Gomphales,0.0813,1
SH1169682.08FU_AJ292295_reps,Gomphales,Gomphales,0.0835,1
SH1213076.08FU_UDB018199_refs,Gomphales,Gomphales,0.0832,1
SH1184690.08FU_KT307860_reps,Gomphales,Gomphales,0.536,1
SH2607441.08FU_UDB0166165_reps,Gomphales,Gomphales,0.191,1
SH1235769.08FU_JX310415_reps,Gomphales,Gomphales,0.0835,1
SH2602043.08FU_UDB0295529_reps,Gomphales,NA,0.0,0
SH3566762.08FU_MK705849_reps,Gomphales,NA,0.0,0
SH1169027.08FU_AJ292289_reps,Gomphales,Gomphales,0.0796,1
SH1152056.08FU_MT055909_reps,Gomphales,Gomphales,0.0695,1
SH1242523.08FU_UDB0317682_reps,Gomphales,Gomphales,0.08,1
SH1143674.08FU_KP814183_reps,Gomphales,Gomphales,0.0835,1
SH1228499.08FU_UDB015193_refs,Gomphales,Gomphales,0.272,1
SH1232625.08FU_UDB024043_reps,Gomphales,Gomphales,0.0835,1
